Timestamp (seconds),Torque [Raw Reading]
0.009,9.865816050000001
0.009,9.948718430000001
0.009,9.89444421
0.009,9.933062405000001
0.009,9.902197670000001
0.009,9.841810145
0.025,9.9120386
0.025,9.913976965
0.025,9.863579475
0.025,9.90547798
0.025,9.92247595
0.025,9.905328875
0.025,9.872227565000001
0.025,9.916362645000001
0.025,9.925905365
0.026,9.933360615
0.026,9.87118383
0.026,9.900557515000001
0.026,9.874911455000001
0.026,9.913827860000001
0.026,9.91174039
0.04,9.972127915
0.04,9.950955005
0.04,9.929185675000001
0.04,9.9418596
0.04,9.8702892
0.04,9.887883590000001
0.04,9.901452145
0.04,9.92873836
0.04,9.903390510000001
0.04,9.89265495
0.041,9.927098205
0.041,9.867157995000001
0.041,9.925010735
0.041,9.90100483
0.041,9.896978995000001
0.041,9.834653105000001
0.041,9.91412607
0.041,9.931869565000001
0.041,9.902346775
0.041,9.90637261
0.041,9.903390510000001
0.041,9.886243435
0.042,9.882068495
0.042,9.909951130000001
0.042,9.90875829
0.042,9.87565698
0.042,9.93500077
0.056,9.960348620000001
0.056,9.903837825
0.056,9.9478238
0.056,9.920239375000001
0.056,9.908609185000001
0.056,9.91174039
0.056,9.908310975000001
0.056,9.90816187
0.056,9.911889495
0.056,9.92068669
0.057,9.904583350000001
0.057,9.913529650000001
0.057,9.868052625
0.057,9.943350650000001
0.057,9.86879815
0.057,9.921283110000001
0.057,9.89146211
0.057,9.8792355
0.057,9.934255245000001
0.057,9.905328875
0.057,9.944841700000001
0.057,9.94305244
0.058,9.889225535000001
0.058,9.933062405000001
0.058,9.925458050000001
0.072,9.916362645000001
0.072,9.89772452
0.072,9.932465985
0.072,9.892804055000001
0.072,9.940964970000001
0.072,9.913976965
0.072,9.86402679
0.072,9.906074400000001
0.072,9.860299165
0.072,9.9358954
0.072,9.90756545
0.073,9.831372795
0.073,9.89086569
0.073,9.926799995
0.073,9.923221475
0.073,9.962734300000001
0.073,9.89861915
0.073,9.906521715
0.073,9.91710817
0.073,9.874315035
0.073,9.895786155
0.073,9.92187953
0.073,9.92247595
0.074,9.924414315
0.074,9.90040841
0.074,9.916213540000001
0.088,9.90249588
0.088,9.8911639
0.088,9.91949385
0.088,9.916064435000001
0.088,9.905030665
0.088,9.963479825
0.088,9.98420542
0.088,9.905627085
0.088,9.905925295000001
0.088,9.905627085
0.089,9.911591285
0.089,9.916959065
0.089,9.9180028
0.089,9.905328875
0.089,9.966760135000001
0.089,9.917555485000001
0.089,9.922625055000001
0.089,9.900855725000001
0.089,9.867008890000001
0.089,9.88997106
0.089,9.90249588
0.089,9.937088240000001
0.09,9.87058741
0.09,9.879981025000001
0.09,9.91442428
0.09,9.94513991
0.104,9.885647015
0.104,9.912336810000001
0.104,9.91144218
0.104,9.894593315
0.104,9.913529650000001
0.104,9.902346775
0.104,9.918450115
