10log(frequency) /Hz,10log|Z| /ohm
5.0,5.3518526248719445
4.8,5.573844492665455
4.6,5.781677032682677
4.4,5.997890096092757
4.199999999999999,6.192503716831356
4.0,6.407032832414099
3.8,6.603443054257544
3.5999999999999996,6.798506764973624
3.4,6.988628239087668
3.199999999999999,7.162299912966462
3.0,7.370249464171297
2.8,7.4868654541145965
2.5999999999999996,7.7246308940797554
2.4,7.952648825101243
2.199999999999999,8.11598290370028
2.0,8.251976504690477
1.7999999999999998,7.865934627384502
1.5999999999999996,8.391355440968129
1.4,8.361421103081353
1.199999999999999,8.453651926839617
1.0,8.549559143345837
0.7999999999999998,8.619642531674833
0.5999999999999998,8.678541058196872
0.4,8.756549739103725
